Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ґоляш,Марина,Богданівна,Жіноча,1955-12-21,Підприємець,селище Шаргород,"сквер Гаріна, буд. 78, Васильків, 72234",+380 31 373-63-10,tsisyksofiia@example.org
Вишиваний,Демид,Олександрович,Чоловіча,1985-01-11,Мірошник,місто Новий Розділ,"узвіз Миколаївська дорога, буд. 32 кв. 83, Ічня, 51686",381 35 66,vashchenkoprokhir@example.com
Твердохліб,Богодар,Миколайович,Чоловіча,1993-05-12,Літературознавець,хутір Пустомити,"парк 8-ма Лінія Дачі Ковалевського, буд. 5 кв. 0, Заводське, 84794",+380 42 214 35 15,masokharozaliia@example.org
Забашта,Оксенія,Іванівна,Жіноча,1944-02-01,Публіцист,хутір Селидове,"шосе Кренкеля, буд. 458, Географія Вільнянська, 53430",065 824 97 63,iarema36@example.org
Микитюк,Емілія,Євгенівна,Жіноча,2003-10-07,Літературознавець,місто Глухів,"шосе Басейний 4-й, буд. 931, Виноградів, 50402",030 573-43-27,ada44@example.com
Шухевич,Марʼяна,Петрівна,Жіноча,1981-12-09,Вчитель,селище Нововолинськ,"парк Туристський, буд. 9, Синельникове, 11734",+380 (64) 367-41-07,zynovii63@example.com
Євтушенко,Аркадій,Євгенович,Чоловіча,2007-05-12,Філолог,село Джанкой,"парк Лиманчик 2-й Лінія 5-та, буд. 008 кв. 58, Вилкове, 67699",036 356-48-14,prokhir81@example.com
Андрусенко,Єфрем,Іванович,Чоловіча,1955-11-07,Піаніст,село Стебник,"парк Льва Толстого, буд. 356, П'ятихатки, 53231",018 768-48-47,snizhana90@example.com
Рак,Гаврило,Дмитрович,Чоловіча,2001-10-31,Намотувальник,хутір Овруч,"шосе Довга, буд. 11 кв. 56, Донецьк, 51035",+380 (01) 562-25-96,fgerus@example.net
Козак,Володимир,Федорович,Чоловіча,1979-03-28,Географ,село Путивль,"парк Горіхова, буд. 769 кв. 35, Берислав, 22949",+380 90 703 40 43,khoma77@example.com
Сагаль,Ярина,Федорівна,Жіноча,2006-12-15,Електрослюсар,село Новогродівка,"шосе Каретний, буд. 32, Ладижин, 90849",761 96 27,piushchenko@example.org
Шевченко,Орися,Олександрівна,Жіноча,1968-09-28,Драматург,село Глобине,"шосе Тульська, буд. 6 кв. 929, Жданівка, 57871",+380 86 223-67-65,klyment83@example.com
Лупій,Еріка,Андріївна,Жіноча,2007-03-27,Євнух,селище Перещепине,"площа Зої Космодем’янської, буд. 300, Полтава, 02785",052 908-80-68,lruban@example.com
Александренко,Ірена,Іванівна,Жіноча,1955-01-25,Сценарист,хутір Полонне,"узвіз Товарний, буд. 4 кв. 8, Південне , 83025",+380 44 347 14 25,okhrimmatiash@example.net
Семенченко,Юхим,Макарович,Чоловіча,1947-12-31,Парфюмер,хутір Козятин,"шосе Академіка Корольова, буд. 2, Золочів, 51750",097 025 86 77,tiahnybokmykhailyna@example.com
Шевченко,Юстина,Олександрівна,Жіноча,1977-04-10,Ді-джей,селище Теплодар,"вулиця Гаршина, буд. 62, Переяслав, 91389",071 054 98 75,rudykprokhir@example.net
Андрусенко,Богодар,Олегович,Чоловіча,1976-05-15,Ботанік,місто Калуш,"вулиця Сергія Уточкіна, буд. 80, Сімферополь, 23606",+380 90 682-49-39,uderehus@example.org
Цюпа,Камілла,Федорівна,Жіноча,1970-03-06,Пілот,селище Саки ,"парк Бригадна, буд. 721 кв. 414, Славутич, 99569",150-71-43,wvernyhora@example.org
Франко,Віталій,Федорович,Чоловіча,1994-03-04,Ді-джей,місто Петрово-Красносілля,"вулиця Садова 5-та, буд. 50 кв. 630, Южноукраїнськ, 81225",+380 07 069 82 45,ezakharchenko@example.com
Шовкопляс,Ольга,Макарівна,Жіноча,1996-06-14,Педагог,хутір Первомайськ,"набережна Амбулаторна, буд. 1, Славутич, 97145",+380 50 043 77 16,hiurchyshyn@example.org
Засядько,Олена,Петрівна,Жіноча,2004-11-15,Кінокритик,село Сміла,"провулок Тупиковий, буд. 0 кв. 83, Чигирин, 78658",+380 (30) 947-59-66,iukhym93@example.org
Лаба,Емілія,Григорівна,Жіноча,1962-03-10,Гірничий інженер,хутір Зеленодольськ,"вулиця Олександра Невського 3-й, буд. 35 кв. 32, Кагарлик, 91878",+380 80 043 06 48,esirchenko@example.org
Гайдай,Леон,Олегович,Чоловіча,1978-01-13,Реабілітолог,селище Ходорів,"набережна Наклонна, буд. 77, Золочів, 79067",018 442 10 17,dmytrohaidai@example.net
Артеменко,Богуслава,Іванівна,Жіноча,1976-08-26,Мінералог,селище Долина ,"площа Приморський, буд. 5 кв. 845, Арциз, 26551",075 815 86 54,sahalzlatoslava@example.net
Шаблій,Демʼян,Богданович,Чоловіча,1953-03-30,Дантист,селище Гребінка,"парк Калинова, буд. 006 кв. 292, Ніжин, 62916",095 328-04-07,telizhenkoerika@example.org
Баштан,Святослава,Дмитрівна,Жіноча,1969-12-25,Письменник,селище Шостка,"шосе Чубаївський, буд. 90, Коростень, 93609",073 282-38-23,radchenkozynovii@example.org
Ірванець,Анастасія,Макарівна,Жіноча,1944-05-29,Кінорежисер,хутір Інкерман,"проспект Італійський, буд. 739, Острог, 71321",+380 95 579-30-16,kamillahavrylenko@example.net
Щириця,Амвросій,Михайлович,Чоловіча,1987-03-23,Кінолог,місто Яготин,"шосе Шкіперська, буд. 52, Охтирка, 01690",001 032-24-10,bohdanna11@example.net
Верменич,Роксолана,Степанівна,Жіноча,1966-09-19,Астроном,селище Таврійськ,"площа Юннатів 1-й, буд. 0 кв. 83, Гірське, 09636",+380 72 168-47-64,amaliia04@example.net
Гайда,Марина,Володимирівна,Жіноча,1988-08-21,Дипломат,селище Новодружеськ,"парк Крутоярська, буд. 012 кв. 065, Ізмаїл, 29512",+380 (29) 463-35-26,ievhen72@example.com
Килимник,Левко,Іванович,Чоловіча,2000-07-08,Парфюмер,селище Тальне,"сквер Астрономічна, буд. 7, Устилуг, 65319",+380 09 065 42 16,nataliia89@example.net
Гузь,Наталія,Андріївна,Жіноча,1957-06-18,Пілот,хутір Очаків,"проспект Кедровий, буд. 96 кв. 40, Бобринець, 77411",+380 84 294-36-41,fareniuktereza@example.org
Заєць,Тимофій,Васильович,Чоловіча,1988-07-12,Астронавт,хутір Пологи ,"проспект Маковий, буд. 895, Зеленодольськ, 37363",+380 47 951-51-98,panas99@example.net
Приймак,Марко,Олександрович,Чоловіча,1959-07-14,Мистецтвознавець,село Мала Виска,"узвіз Вертелецького, буд. 66, Самбір, 19867",+380 36 839-10-96,leonidsymonenko@example.net
Сиротенко,Маруся,Дмитрівна,Жіноча,1938-11-27,Електрослюсар,село Київ,"шосе Путьова, буд. 995, Білопілля, 98243",040 660 48 47,iustenko@example.org
Луценко,Вадим,Леонідович,Чоловіча,1972-09-27,Кіноактор,хутір Жмеринка,"набережна Лінія 23-тя, буд. 512 кв. 757, Куп'янськ, 69042",+380 22 828-24-16,esuprunenko@example.net
Батуринець,Мирон,Іванович,Чоловіча,1985-07-08,Електрик,селище Ізмаїл,"набережна Кибальчича, буд. 0 кв. 819, Калуш, 90250",454-31-20,havrylyshynmariia@example.org
Корсун,Віра,Євгенівна,Жіноча,1971-05-19,Соціолог,місто Татарбунари,"сквер 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 41 кв. 2, Алчевськ, 14853",882 84 08,roman00@example.net
Баклан,Яків,Леонідович,Чоловіча,1999-11-15,Каскадер,село Верхньодніпровськ,"площа Цементний, буд. 61 кв. 22, Козятин, 36974",+380 62 454-48-27,stefan10@example.net
Адаменко,Леонтій,Романович,Чоловіча,1977-08-11,Біолог,хутір Бровари,"вулиця Радіальний, буд. 3, Горохів, 36028",+380 88 429-44-45,solomiiatsiupa@example.org
Перепелиця,Андрій,Юрійович,Чоловіча,1954-11-29,Державний службовець,місто Тячів,"проспект Торгова, буд. 14, Сватове, 32074",057 275-34-91,aarongoliash@example.net
Опанасенко,Костянтин,Васильович,Чоловіча,1970-04-08,Економіст,село Монастирище,"шосе Строганов міст, буд. 949, Горішні Плавні, 65341",382-86-01,riermolenko@example.com
Шевченко,Омелян,Андрійович,Чоловіча,1960-07-25,Астроном,хутір Старий Крим,"узвіз Болгарська, буд. 0, Волноваха, 54574",276 05 53,batihdavyd@example.com
Яценюк,Зиновій,Михайлович,Чоловіча,2003-04-19,Публіцист,місто Броди,"проспект Вєтрова, буд. 30, Скадовськ, 15333",+380 85 434-04-16,lesnosachenko@example.net
Скирда,Венедикт,Петрович,Чоловіча,1985-10-01,Антрополог,селище Вишгород,"сквер Хвойний, буд. 4 кв. 1, Новодружеськ, 33003",+380 24 105 05 92,feofan60@example.org
Чайка,Єва,Андріївна,Жіноча,1962-05-25,Дерун,місто Глобине,"проспект Магнітогорська, буд. 80, Знам'янка, 13350",+380 43 881 00 41,hlibgalagan@example.net
Туркало,Азар,Дмитрович,Чоловіча,1990-04-26,Детектив,хутір Галич,"проспект Сабанський, буд. 7 кв. 62, Ялта, 32927",+380 05 549-86-19,truban@example.org
Колісниченко,Трохим,Євгенович,Чоловіча,1998-10-21,Випробувач,місто Сватове,"проспект Лиманчик 2-й Лінія 9-та, буд. 072, Житомир, 03537",666-26-07,tryhubvasylyna@example.com
Кабаненко,Святослав,Дмитрович,Чоловіча,1968-09-22,Штукатур,селище Ямпіль,"сквер Академіка Воробйова, буд. 65, Сокаль, 26363",+380 43 956-44-82,fdrobakha@example.com
Рябовіл,Семен,Євгенович,Чоловіча,1942-09-15,Співак,селище Тараща,"проспект Озерна, буд. 304, Вишневе , 34891",015 943 32 31,ilchenkoiaroslav@example.org
Вакарчук,Роксолана,Євгенівна,Жіноча,1945-12-10,Кінолог,селище Молодогвардійськ,"сквер Куликовський 2-й, буд. 88, Ірпінь, 86024",+380 (55) 913-90-60,uartiukh@example.org
Фастенко,Єфрем,Богданович,Чоловіча,1970-04-07,Швачка,селище Вишневе ,"узвіз Стовпова, буд. 072 кв. 07, Жидачів, 83910",+380 11 252-45-84,mykytacherednyk@example.org
Ткач,Лілія,Юріївна,Жіноча,1970-10-17,Електротехнік,хутір Калинівка ,"сквер Рожева, буд. 5, Канів, 64729",+380 76 520 96 22,iaroslavamasliak@example.org
Рябовіл,Ада,Федорівна,Жіноча,1940-05-12,Слідчий,селище Берислав,"вулиця Сегедська, буд. 53 кв. 64, Бурштин , 64988",+380 24 796-23-90,batihsnizhana@example.org
Товстоліс,Опанас,Петрович,Чоловіча,1944-06-15,Візажист,село Конотоп,"парк Перший Кришталевий, буд. 394, Полонне, 93626",019 260 75 32,zonishchuk@example.org
Редько,Аніта,Дмитрівна,Жіноча,1964-05-21,Доцент,селище Енергодар,"провулок 4-та Лінія Марії Демченко, буд. 285 кв. 00, Соледар, 22211",+380 (94) 023-30-54,tereshchenkobohdanna@example.net
Нестеренко,Ліза,Макарівна,Жіноча,1942-10-24,Випробувач,селище Сорокине,"узвіз Офіцерський 2-й, буд. 6, Яготин, 65109",311-13-72,qievtushok@example.net
Дейнеко,Орест,Олександрович,Чоловіча,1976-11-21,Футболіст,селище Слов'янськ,"площа Герцена, буд. 649 кв. 7, Знам'янка, 62339",061-79-71,oresthavryshkevych@example.net
Запорожець,Гордій,Романович,Чоловіча,1949-01-20,Золотар,село Коростишів,"площа Скидановська, буд. 951 кв. 3, Керч, 13194",048 772 33 33,leontii76@example.com
Гузь,Одарка,Степанівна,Жіноча,2002-05-28,Медик,село Чернігів,"сквер Каретний, буд. 0, Ананьїв, 24946",+380 (75) 325-27-55,bshyian@example.org
Цюпа,Аркадій,Михайлович,Чоловіча,1997-03-12,Хореограф,місто Снігурівка,"парк Залізнична, буд. 4, Святогірськ, 58784",058 889-76-14,taras88@example.com
Кармалюк,Богодар,Іванович,Чоловіча,1988-01-25,Історик,селище Жидачів,"площа Західний 1-й, буд. 4, Нововолинськ, 26680",+380 61 641-47-89,lkarpenko@example.com
Гуцуляк,Євген,Юрійович,Чоловіча,1945-08-30,Ювелір,хутір Рудки,"вулиця Гранатна, буд. 39 кв. 228, Кальміуське, 28703",050 620-50-99,lytvynenkooles@example.com
Штепа,Валентина,Миколаївна,Жіноча,1988-05-30,Палеонтолог,село Кілія,"шосе Наявний 5-й, буд. 244 кв. 089, Гірське, 77078",+380 64 194-26-96,revaiukhym@example.com
Андрейко,Єлисавета,Макарівна,Жіноча,2004-11-09,Маркетолог,хутір Олександрівськ,"сквер Квіткова, буд. 6, Дружба , 91720",+380 91 733 94 63,fursvasylyna@example.net
Ніколюк,Гліб,Миколайович,Чоловіча,1953-11-11,Економіст,місто Алупка,"парк Черняховського, буд. 09 кв. 3, Буча, 70191",+380 22 415-05-83,uivasiuk@example.net
Дзиндра,Остап,Федорович,Чоловіча,1949-09-24,Соціолог,село Нове Давидково,"площа Псковська, буд. 88 кв. 05, Бобринець, 03538",019 339 02 15,qkarpenko@example.net
Чередник,Амвросій,Євгенович,Чоловіча,1997-05-15,Підприємець,селище Жовква,"вулиця Сміливий, буд. 003 кв. 5, Алмазна, 56309",047 110-50-58,wkorpaniuk@example.net
Ющенко,Августин,Макарович,Чоловіча,1943-03-10,Музикант,село Вилкове,"шосе Приморська, буд. 9 кв. 60, Новояворівськ, 05925",+380 83 817 98 53,oleksandr96@example.com
Аронець,Світлана,Андріївна,Жіноча,1955-06-24,Агроном,село Донецьк,"провулок Лютневий 2-й, буд. 163, Моспине, 52203",+380 (00) 980-25-79,hennadii82@example.org
Михайлюк,Орина,Євгенівна,Жіноча,1952-07-12,Гінеколог,село Перещепине,"набережна Красна, буд. 198, Підгайці, 05295",836-22-98,qriaboshapka@example.com
Килимник,Амалія,Володимирівна,Жіноча,1946-06-01,Географ,хутір Новгород-Сіверський,"парк Омська, буд. 621, Стебник, 44278",112 29 76,aleksiichukdemyd@example.com
Дутка,Емілія,Богданівна,Жіноча,1995-08-20,Публіцист,село Боково-Хрустальне,"набережна Кибальчича, буд. 950, Тульчин, 80622",360-33-10,abandera@example.com
Корбут,Руслан,Олегович,Чоловіча,1952-04-15,Педагог,хутір Ірміно,"набережна Садова 1-ша, буд. 13, Бобринець, 11562",240 19 27,sahalpanas@example.com
Дейнека,Олена,Олегівна,Жіноча,1993-11-03,Продюсер,село Соледар,"набережна Чапаєва, буд. 8, Носівка, 62106",074 247-69-54,mishchenkonadiia@example.net
Сагаль,Теодор,Федорович,Чоловіча,1993-04-19,Лікар,село Волочиськ,"узвіз Басейний 6-й, буд. 6, Золочів, 77906",053 811-59-73,haidaostap@example.org
Тесля,Розалія,Сергіївна,Жіноча,2007-10-05,Кінокритик,хутір Стебник,"сквер Політкаторжан, буд. 705, Енергодар, 64368",+380 41 052-57-63,hlib95@example.org
Дубас,Амвросій,Макарович,Чоловіча,1963-01-05,Кур'єр,селище Нетішин,"парк Кренкеля, буд. 2 кв. 715, Суми, 04007",064-71-14,syrotenkoiarema@example.org
Савенко,Богуслав,Федорович,Чоловіча,1980-03-15,Фізик,село Бунге ,"узвіз Зелений, буд. 551 кв. 67, Жовті Води, 72372",+380 82 406-07-21,vasylynazharko@example.net
Ватаманюк,Станіслав,Романович,Чоловіча,1987-02-04,Медик,хутір Нова Каховка,"узвіз Лугова, буд. 079, Новгород-Сіверський, 13173",+380 21 930-07-97,boryslav19@example.com
Чабан,Спас,Федорович,Чоловіча,1959-09-20,Детектив,село Дніпро ,"узвіз Новосельского, буд. 7, Мена , 79139",100 03 17,snizhana18@example.net
Дашкевич,Марко,Володимирович,Чоловіча,1948-08-01,Адвокат,село Герца,"провулок Іспанська, буд. 67 кв. 94, Павлоград, 05512",+380 74 309-07-82,klavdiia71@example.com
Фурс,Федір,Дмитрович,Чоловіча,1954-01-22,Сантехнік,селище Миколаївка ,"парк Хвойний, буд. 4 кв. 87, Лиман , 35568",610 08 76,bmalyk@example.com
Скорик,Спас,Олегович,Чоловіча,1950-05-11,Фізик,селище Сватове,"сквер Косвена, буд. 3, Вашківці, 47734",006 962 36 23,tkachenkooleh@example.net
Ґжицький,Демʼян,Богданович,Чоловіча,2002-12-27,Різноробочий,село Миргород,"набережна Український 2-й, буд. 25, Городня, 19458",465-07-93,ngerus@example.net
Проценко,Гліб,Володимирович,Чоловіча,1982-11-18,Нотаріус,селище Ужгород,"сквер Курортний, буд. 3 кв. 690, Олександрія, 01769",088 239-09-04,adamusyk@example.net
Чуприна,Нестор,Михайлович,Чоловіча,1985-07-27,Державний службовець,хутір Вишневе ,"парк Маршала Малиновського, буд. 87, Козятин, 02044",060 694 34 05,aronetsstanislav@example.org
Наливайко,Лесь,Володимирович,Чоловіча,1961-04-15,Стиліст,село Апостолове,"набережна Красних Зорь, буд. 083 кв. 790, Любомль, 76818",+380 (32) 551-04-03,rubanokseniia@example.net
Швачка,Антон,Олегович,Чоловіча,1986-12-15,Педагог,місто Баранівка,"сквер Дубовий гай, буд. 524 кв. 31, Благовіщенське, 38246",+380 81 861 23 58,martynpiatachenko@example.com
Матяш,Георгій,Степанович,Чоловіча,2000-06-30,Епідеміолог,село Новоукраїнка,"провулок Промисловий, буд. 05, Бережани, 80844",059 810 62 45,demian75@example.org
Шухевич,Богдан,Миколайович,Чоловіча,1962-08-02,Прокурор,село Яготин,"сквер Флотський 1-й, буд. 8 кв. 5, Старобільськ, 60845",016 903-41-25,shovkopliaspavlo@example.net
Рева,Ірена,Федорівна,Жіноча,1948-11-11,Модель,місто Дніпрорудне,"вулиця Виноградна 2-га, буд. 8, Енергодар, 62076",+380 (15) 246-93-61,dashenkoielysei@example.net
Христич,Святослав,Юрійович,Чоловіча,1982-11-30,Педагог,хутір Охтирка,"сквер Пересипська 6-та, буд. 303 кв. 0, Ялта, 23123",341 23 39,hlib85@example.org
Бебешко,Ілля,Юрійович,Чоловіча,1955-03-27,Євнух,хутір Підгородне,"площа Новаторів, буд. 947, Новомиргород, 81882",004 779-05-56,kovaliukbohdanna@example.org
Баранник,Аарон,Степанович,Чоловіча,1958-04-15,Стропальник,місто Ходорів,"парк Центральна, буд. 05 кв. 491, Горішні Плавні, 49163",055-50-12,amvrosii34@example.org
Височан,Венедикт,Романович,Чоловіча,2007-03-31,Хореограф,хутір Марганець ,"шосе Училищна, буд. 5 кв. 160, Феодосія, 76771",+380 35 930-69-62,makohonbohodar@example.net
Цимбалюк,Святослава,Юріївна,Жіноча,1943-02-08,Кур'єр,місто Соснівка ,"узвіз Пантелеймонівська, буд. 8 кв. 374, Комарно, 71021",+380 90 177-34-54,kovalenkonestor@example.net
Панчук,Тарас,Романович,Чоловіча,1971-11-01,Редактор,місто Городок,"узвіз Іподромний, буд. 649, Чорноморськ, 49865",+380 99 714-09-77,amvrosii13@example.net
Хорішко,Марина,Григорівна,Жіноча,1960-05-24,Бізнесмен,місто Броди,"узвіз Рекордний, буд. 4, Сіверськ, 57274",815 50 80,oleh39@example.org
Литвиненко,Ганна,Сергіївна,Жіноча,2002-09-04,Стоматолог,селище Світловодськ,"набережна Лузанівський, буд. 1, Ватутіне, 22664",653-09-61,shcherbakihor@example.org
Гречко,Марта,Володимирівна,Жіноча,1975-03-10,Кінорежисер,хутір Вільнянськ,"парк Вернидуба, буд. 3 кв. 2, Ізюм, 40619",+380 91 794 94 87,klavdiiashablii@example.com
Канівець,Світлана,Миколаївна,Жіноча,1990-09-02,Дантист,селище Новоселиця,"сквер Чернишевського, буд. 34 кв. 52, Олевськ, 11811",+380 25 249 95 21,chernenkoheorhii@example.org
Деряжний,Яків,Степанович,Чоловіча,1951-08-05,Громадський діяч,селище Шепетівка,"парк Поперечний, буд. 96 кв. 816, Яремче, 26993",060 107-02-94,fbabak@example.net
Оберемко,Дарина,Петрівна,Жіноча,1997-06-29,Сантехнік,селище Куп'янськ,"провулок Олександрівський, буд. 057 кв. 639, Шпола, 31739",696 91 25,aaronpetryk@example.com
Ткач,Михайлина,Михайлівна,Жіноча,1998-01-15,Підприємець,село Харцизьк,"проспект 9-та Лінія Дачі Ковалевського, буд. 00 кв. 3, Добромиль, 65534",+380 43 970-71-44,bohdan25@example.org
Михайлюк,Олег,Васильович,Чоловіча,1993-01-15,Мистецтвознавець,селище Сновськ,"вулиця Василя Кандинського 4-й, буд. 1 кв. 10, Новомосковськ, 97928",+380 (80) 363-42-03,eiemelianenko@example.org
Василевич,Ярослава,Макарівна,Жіноча,2005-10-08,Актор,місто Глобине,"парк Проектований 4-й, буд. 8 кв. 086, Христинівка, 04153",238 55 28,iosyphupalo@example.com
Михайлюк,Валентина,Олегівна,Жіноча,1957-05-10,Біолог,хутір Приморськ (Україна),"провулок Житомирський 4-й, буд. 5 кв. 45, Тернопіль, 67155",+380 (96) 186-23-28,pmalyk@example.net
Байдак,Марія,Степанівна,Жіноча,1947-03-03,Машиніст,селище Скадовськ,"проспект Леонтовича, буд. 8 кв. 97, Гадяч, 82039",+380 76 541-98-02,zasiadkovira@example.org
Ващенко,Златослава,Олегівна,Жіноча,1983-02-16,Економіст,місто Мостиська,"сквер Академіка Панкратової, буд. 1, Новгород-Сіверський, 72799",014 171 56 51,iarynaieroshenko@example.net
Ґереґа,Валерій,Євгенович,Чоловіча,1973-04-27,Ботанік,селище Сколе,"провулок Трудовий, буд. 1 кв. 80, Роздільна, 64610",+380 34 499-27-50,atroshchenkobohuslava@example.org
Архимович,Герман,Володимирович,Чоловіча,1981-08-08,Будник,селище Богуслав,"набережна Круговий, буд. 4, Березань , 49478",432-04-50,iaroslavakomar@example.net
Жайворон,Сергій,Володимирович,Чоловіча,1949-06-10,Пілот,місто Ладижин,"шосе Сабанський, буд. 134, Чортків, 29445",014 352-58-69,ekhomenko@example.com
Редько,Миколай,Миколайович,Чоловіча,1991-05-07,Паралегал,село Пологи ,"узвіз Цебриківська, буд. 53, Костопіль, 56210",103 74 61,daryna26@example.org
Їжакевич,Златослава,Юріївна,Жіноча,1946-02-25,Кухар,селище Підгородне,"шосе Могилівська, буд. 94 кв. 810, Ніжин, 29130",089 719-83-06,chaikaprokhir@example.net
Мірошниченко,Пилип,Макарович,Чоловіча,1971-12-14,Стоматолог,місто Кіцмань,"площа Космонавта Комарова, буд. 983, Чернівці, 10549",+380 (89) 414-29-82,azarzaichenko@example.com
Гоголь,Демид,Юрійович,Чоловіча,1990-03-06,Каскадер,селище Біляївка,"парк Студентський 4-й, буд. 631 кв. 036, Голубівка, 93764",+380 63 078-20-48,kolisnychenkomykyta@example.com
Гайдабура,Оксенія,Григорівна,Жіноча,1986-06-19,Біолог,місто Герца,"набережна Пересипська 9-та, буд. 08, Ясинувата, 57133",+380 (50) 484-09-29,andriidzhun@example.net
Джунь,Лариса,Степанівна,Жіноча,1950-08-19,Стоматолог,селище Красноград,"проспект Удільний, буд. 497 кв. 29, Красилів, 02664",030 387-96-95,makardzhun@example.com
Теліженко,Мілена,Дмитрівна,Жіноча,1941-03-31,Музикант,хутір Лисичанськ,"парк Рівний, буд. 2, Світловодськ, 63939",046 308-29-81,mykytamalyshko@example.com
Левченко,Святослав,Андрійович,Чоловіча,1970-04-06,Музикант,село Тернопіль,"узвіз 2-й Академічний тупик, буд. 053 кв. 6, Заводське, 61598",+380 58 573-62-49,izhakevychanita@example.net
Демʼянюк,Демʼян,Романович,Чоловіча,1969-10-18,Детектив,місто Новоград-Волинський,"проспект Софії Перовської, буд. 21, Золотоноша, 09425",462-64-20,olenazabara@example.com
Ейбоженко,Богдан,Михайлович,Чоловіча,1993-05-04,Гінеколог,селище Бучач,"парк Листяна, буд. 358, Угнів, 73306",+380 43 074 55 46,zorian97@example.net
Сірченко,Алевтин,Миколайович,Чоловіча,1961-02-03,Адвокат,хутір Болград,"парк Миколи Боровського, буд. 186 кв. 226, Молочанськ, 65475",055 980 08 02,leontiiiushchenko@example.net
Міщенко,Іван,Володимирович,Чоловіча,1966-10-11,Графік,село Мена ,"набережна Леваневського тупик, буд. 295, Березне, 46801",+380 95 221 90 39,zasukhaoleksandr@example.com
Саченко,Амалія,Іванівна,Жіноча,1975-11-12,Електромонтажник,хутір Мелітополь,"проспект Басейний 4-й, буд. 69 кв. 290, Шумськ, 84660",+380 79 020-30-28,stefan07@example.net
Пушкар,Едуард,Петрович,Чоловіча,2002-07-11,Секретар,хутір Пустомити,"шосе Салтикова-Щедріна, буд. 454, Тернівка , 22991",851-19-31,ruslansirchenko@example.org
Мамчур,Орина,Володимирівна,Жіноча,2005-09-29,Гицель,місто Саки ,"шосе Марата, буд. 2 кв. 9, Коростень, 32348",+380 (91) 940-27-31,petroliashko@example.org
Бабак,Герман,Олегович,Чоловіча,1967-12-26,Штукатур,селище Заліщики,"проспект Політкаторжан, буд. 5 кв. 416, Ялта, 92490",+380 76 784 64 40,smazur@example.com
Їжакевич,Едита,Леонідівна,Жіноча,1963-10-30,Правник,селище Іршава,"узвіз Тещин міст, буд. 916, Івано-Франківськ, 09036",+380 65 675 61 30,vira58@example.org
Корбут,Галина,Богданівна,Жіноча,2003-03-09,Фармацевт,селище Моспине,"шосе Дачна, буд. 700 кв. 6, Ковель, 88513",380-25-37,maksym35@example.org
Короленко,Яків,Романович,Чоловіча,1993-07-31,Державний службовець,місто Радомишль,"парк Марії Демченко, буд. 3 кв. 043, Буринь, 41981",+380 (40) 868-23-61,sviatoslavaverchenko@example.org
Адамчук,Юстим,Іванович,Чоловіча,1971-05-30,Педагог,місто Городок,"провулок Локомотивний 3-й, буд. 8, Тульчин, 62473",+380 (57) 062-36-81,moskaldemyd@example.com
Вишняк,Аліна,Іванівна,Жіноча,1962-02-25,Ґрунтознавець,село Кам'янка-Бузька,"сквер Грецька, буд. 84, Барвінкове, 83462",292-77-45,kamillapavlychenko@example.net
Онуфрієнко,Леон,Олександрович,Чоловіча,1970-07-06,Парфюмер,місто Косів,"проспект Рибальська, буд. 29 кв. 77, Перещепине, 04500",045 456-77-73,varfolomiiandriievych@example.org
Щербань,Миколай,Петрович,Чоловіча,1967-11-03,Психолог,село Макіївка,"узвіз Магістральна, буд. 827, Чоп, 59924",+380 90 482 93 02,zhukorysia@example.org
Атаманюк,Ілля,Богданович,Чоловіча,1963-02-09,Агроном,місто Великі Мости,"провулок Ключовий 1-й, буд. 5 кв. 776, Красноград, 42832",+380 20 523 69 50,aleksiukklavdiia@example.org
Ісаєнко,Болеслав,Петрович,Чоловіча,2007-07-01,Актор,хутір Лозова ,"площа Флотський 4-й, буд. 012 кв. 8, Сєвєродонецьк, 27832",+380 37 279-52-10,kabanenkoomelian@example.org
Цибуленко,Гліб,Григорович,Чоловіча,1949-05-18,Продюсер,хутір Вільнянськ,"шосе Вапняний 2-й, буд. 630 кв. 36, Щолкіне, 78245",+380 (64) 603-47-79,sbarabash@example.org
Тихий,Богодар,Григорович,Чоловіча,1988-01-17,Намотувальник,місто Новояворівськ,"провулок Заводська, буд. 578, Мена , 53471",415-94-50,emiliia97@example.org
Височан,Ярослава,Богданівна,Жіноча,1978-04-24,Диригент,селище Красногорівка,"парк Східний, буд. 499 кв. 48, Кам'янка-Бузька, 68429",+380 13 058 01 85,goliashedyta@example.net
Чайка,Камілла,Іванівна,Жіноча,1952-10-03,Музичний редактор,село Борзна,"вулиця Семафорний, буд. 950 кв. 8, Богуслав, 68566",030 469 75 86,alla97@example.net
Абраменко,Григорій,Васильович,Чоловіча,1946-10-08,Соціолог,селище Олександрівськ,"вулиця 11-та ст. Великого Фонтану пляж, буд. 029 кв. 385, Тростянець, 74819",055 438 71 66,veniiamynieresko@example.org
Дробʼязко,Святослава,Євгенівна,Жіноча,1940-11-19,Композитор,село Перевальськ,"набережна Пілотна, буд. 53 кв. 5, Вижниця, 84333",885-62-30,iosyp00@example.com
Лаба,Єфрем,Володимирович,Чоловіча,1986-04-12,Паралегал,селище Балаклія,"шосе Велика Садова, буд. 294 кв. 3, Деражня, 59450",028 252 62 01,anita68@example.org
